alpine n.高山
appropriate adj.合适的
aptitude n.天资;智能
arrested adj.被逮捕的
article n.文章
articulate v.清晰地表达
assembly n.生产线
assign v.分派
association n.联系
assume v.假定
bark n.树皮
bill n.账单;议案
bite v.咬
blow v.吹
book n.书籍
build v.建造
cat n.猫
catch v.抓到
chanmpion n.冠军
channel n.渠道
chest n.胸膛
climate n.天气
close adj.关闭的
colony n.殖民地
compelling adj.强制的
complex adj.复杂的
concern n.忧虑
concern n/v.忧虑
concrete adj.具体的(反义词:abstract)
console v.安慰
construction n.建筑物
consume v.消耗
control v.控制
convenience n.便利
conversant n.谈话人
count v.计数
credit n.学分;贷款;信用
critical adj.批评的
cure v.治病
cut v.切
date n.约会
deal n.生意
dear adj.亲爱的
desert n.沙漠
devour v.吞食
discriminate v.歧视(贬义)
divert v.转移
dock n.码头
down adj.向下的
draft n.草稿
drain v.排水
draw v.画画
drill n.(体育或者军事)训练
drive v.开车
duty n.1责任，2关税
eat v.吃饭
eclipse n.(日,月等天体)蚀
elaborate adj.精致的
element n.元素
elevate v.提高
estimable adj.可估计的
exploit v.剥削
fair adj.公平的
fashion adj.时尚的
fell v.倒下
felt v.感受
figure n.身材;数字
fix v.修理
flag n.旗帜
flat adj.平坦的
fly v.飞
frame n.框
functional adj.功能的
give v.给
hail n.冰雹
harbor n.港口
heading n.标题
hide v.躲藏
hit v.击打
hold v.持有
honors n.荣誉
house n.房屋
humor n.幽默感
impart v.授予
import v.进口
incoherent adj.不连贯的
inevitable adj.不可避免的
instrumental adj.工具的
interest n.兴趣
invite v.邀请
inviting v.邀请
involved adj.有关的
issue v.发行
jar n.瓶子
lace n.带子，花边
lap n.大腿
late adj.晚的
lay v.卧倒
lead v.引导
leave v.离开
ledge n.板型，条状平面结构
legitimize v.批准
letter n.信
line "n.线
literally adv.字面意思地
loom n.织布机
lot 很多
make v.做
measure "v.衡量
n.方式, 方法"
meet v.相遇
minute n.分钟
miserly adj.小气的
molding n.模型
negative adj.负面的
negotiate v.谈判
nice adj.好的
niche n.壁龛
note n.笔记
novel n.小说
observe v.观察
organ n.器官
outstanding adj.杰出的
partial adj.部分的
parts n.部分
passive adj.消极的
peak n.巅峰
period n.时段
pest n.害虫
pile n.堆
plot n.(小说等)情节
pound n.(重量计算单位)磅
precipitant adj.勇往直前的
prescribe v.给...开处方
preserve v.保存
presume v.假定
prevail v.流行
prize n.奖品
produce v.生产
promise v.承诺
pronounced v.发言
provided v.提供
quality n.质量
quarter n.四分之一
rare adj.稀有的
rate n.比率
rear adj.后面的
relief n.缓解
religious adj.宗教的
remote adj.遥远的
rent n.房租
repertoire n.常备剧目
reservoir n.水库
resource n.资源
resourceful adj.资源丰富的
retire v.退休
ring n.环
rounded adj.圆形的，球状的
routine adj.常规的
royalty n.忠心
run v.跑
sanctuary n.圣堂
sand n.砂石
save v.节约
say v.说话
scale n.尺度
school n.学校
score n.分数
screen v.筛选
season n.季节
secretary n.秘书
secure adj.安全的
serve v.服侍
shade n.树荫,阴影
sheet "n.（雪，木头等）一片;
n. 床单"
shelf n.架子
shrink v.缩水
sink v.下沉
slim adj.消瘦的
sole adj.单独的
sound n.声响
sow v.播种
spell v.拼写
spoke v.说话
spot n.斑点
spring n.春天
spur v.刺激，鼓励
stamp n.邮票
stand v.站立
standard n.标准
start v.开始
station n.站台
stature n.（人的）身材，身高
stem n.(植物)根茎
strain n.压力
stroke n.中风
tension n.压力
territory n.领土
thread n.线
tip n.末端
tire v.疲倦
tolerable adj.可忍受的
touch v.触碰
tower n.塔
toy n.玩具
troop n.军队
underwrite v.写在..之下
well adv.好的
