logic n.逻辑，推理；逻辑性
logical a.逻辑的；符合逻辑的
lonely a.孤独的；荒凉的
long a.长的；远的ad.长久
long vi.渴望，极想念
look vi.看，显得n.看
loop n.圈，环，环孔
loose a.松的；宽松的
machine n.机器；机械
mad a.发疯的；恼火的
madam n.夫人，女士，太太
magazine n.杂志，期刊
magic n.魔法，巫术；戏法
magnet n.磁铁，磁石，磁体
magnetic a.磁的，有吸引力的
magnificent n.壮丽的；华丽的
maid n.女佣，女仆；少女
mail n.邮件vt.邮寄
main a.主要的，最重要的
mainly ad.主要地，大体上
mainland n.大陆
maintain vt.维持；赡养；维修
maintenance n.维持，保持；维修
major a.较大的n.专业
majority n.多数，大多数
make vt.使；做，制造
male a.男的，雄的n.男子
man n.男人；人；人类
manage vt.管理；设法；对付
management n.管理；经营，处理
manager n.经理，管理人
mankind n.人类
manly a.男子气概的，果断的
manner n.方式；态度；礼貌
manual a.体力的n.手册
manufacture vt.制造n.制造；产品
manufacturer n.制造商；制造厂
many a.许多的pron.许多人
map n.地图；图；天体图
meat n.肉
mechanic n.技工，机械，机修工
mechanical a.机械的；力学的
mechanically ad.机械地
mechanics n.力学；技术性细节
medal n.奖章，勋章，纪念章
medical a.医学的；内科的
medicine n.内服药；医学
Mediterranean n.地中海a.地中海的
medium n.媒质；中间a.中等的
meet vt.遇见vi.相遇
meeting n.聚集，会合，会见
melon n.瓜，甜瓜
melt vi.融化vt.使融化
member n.成员，会员
memorial a.纪念的；记忆的
memory n.记忆；回忆；存储
mend vt.修理，修补，缝补
mental a.智力的；精神的
mention vt.&n.提及，说起
menu n.菜单；饭菜，菜肴
merchant n.商人；零售商
mercury n.水银，汞
Mercury n.水星
mercy n.仁慈，慈悲，恩惠
mere a.仅仅的；纯粹的
merely ad.仅仅，只不过
merit n.长处，优点；功过
merry a.欢乐的，愉快的
mess n.混乱，混杂，肮脏
message n.信息，消息；启示
messenger n.送信者，信使
metal n.金属，金属制品
meter n.计量器，计，表
method n.方法，办法；教学法
metre n.米，公尺
metric a.公制的，米制的
microcomputer n.微型计算机，微机
microphone n.话筒，麦克风
microscope n.显微镜
midday n.正午，中午
middle n.中部a.中部的
midnight n.午夜，子夜，夜半
midst n.中部，中间，当中
might n.力量，威力，能力
musical a.音乐的；和谐的
musician n.音乐家；作曲家
mute a.缄默的n.哑巴
mutter vi.轻声低语；抱怨
mutton n.羊肉
mutual a.相互的；共同的
my pron.我的
myself pron.我自己；我亲自
mysterious a.神秘的；难以理解的
